Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2006930001760,346310,730970,-2.873009,56.467844,Tayside,Slight,2,1,26/04/2006,Wednesday,13:00,Dundee City,Dundee City,A,930,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001762,339880,730350,-2.977213,56.461497,Tayside,Slight,2,1,26/04/2006,Wednesday,12:15,Dundee City,Dundee City,C,204,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001784,342270,733160,-2.939057,56.487038,Tayside,Slight,1,1,01/05/2006,Monday,17:45,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001787,338940,729740,-2.992322,56.455896,Tayside,Serious,2,1,02/05/2006,Tuesday,17:00,Dundee City,Dundee City,C,235,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001797,339340,733820,-2.986783,56.492598,Tayside,Serious,1,1,30/04/2006,Sunday,14:20,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001798,338930,730690,-2.992706,56.464429,Tayside,Slight,3,1,01/05/2006,Monday,18:30,Dundee City,Dundee City,A,923,Single carriageway,30,T or staggered junction,Auto traffic signal,C,245,Control by other authorised person,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001799,339830,733210,-2.978685,56.487181,Tayside,Serious,2,1,03/05/2006,Wednesday,09:15,Dundee City,Dundee City,C,250,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001836,344530,733630,-2.902463,56.491532,Tayside,Slight,1,1,07/05/2006,Sunday,02:25,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2006930001853,338780,729790,-2.994929,56.456325,Tayside,Slight,1,1,08/05/2006,Monday,16:00,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001869,341710,733370,-2.948196,56.488855,Tayside,Serious,1,1,11/05/2006,Thursday,18:15,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001871,342140,731040,-2.940697,56.467978,Tayside,Serious,2,1,07/04/2006,Friday,17:15,Dundee City,Dundee City,A,92,Single carriageway,40,T or staggered junction,Give way or uncontrolled,A,930,None within 50 metres ,Central refuge,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2006930001885,335380,731780,-3.05058,56.473746,Tayside,Slight,2,1,11/05/2006,Thursday,07:45,Dundee City,Dundee City,A,90,Roundabout,50,Roundabout,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001925,339790,729460,-2.978468,56.45349,Tayside,Serious,1,1,15/05/2006,Monday,19:50,Dundee City,Dundee City,A,85,Dual carriageway,40,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2006930001937,341580,734080,-2.950467,56.495217,Tayside,Slight,3,1,12/05/2006,Friday,18:30,Dundee City,Dundee City,A,90,Dual carriageway,70,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Rural,Yes,
2006930001939,342200,731060,-2.939727,56.468165,Tayside,Serious,4,2,15/05/2006,Monday,08:45,Dundee City,Dundee City,A,930,Single carriageway,40,T or staggered junction,Give way or uncontrolled,A,92,None within 50 metres ,Central refuge,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2006930001944,343100,731650,-2.925251,56.473575,Tayside,Serious,1,1,16/05/2006,Tuesday,14:30,Dundee City,Dundee City,A,92,Dual carriageway,30,T or staggered junction,Give way or uncontrolled,C,223,None within 50 metres ,Central refuge,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001967,342030,732310,-2.942764,56.479373,Tayside,Slight,1,1,19/05/2006,Friday,15:55,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Roundabout,Give way or uncontrolled,A,972,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
