Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2016930000286,338076,733705,-3.007281,56.491401,Tayside,Serious,1,2,12/05/2016,Thursday,18:40,Dundee City,Dundee City,C,202,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000300,339721,731879,-2.980147,56.475212,Tayside,Slight,2,2,05/06/2016,Sunday,00:50,Dundee City,Dundee City,Unclassified,0,Roundabout,30,Roundabout,Give way or uncontrolled,B,960,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000318,346244,730766,-2.874039,56.466004,Tayside,Slight,1,2,29/05/2016,Sunday,04:19,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000319,341652,734529,-2.949399,56.49926,Tayside,Serious,2,2,06/06/2016,Monday,15:15,Dundee City,Dundee City,A,90,Dual carriageway,70,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Rural,Yes,
2016930000324,344944,731539,-2.895298,56.472798,Tayside,Serious,2,1,06/06/2016,Monday,07:55,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000327,337517,731845,-3.015912,56.474619,Tayside,Slight,2,1,06/06/2016,Monday,20:35,Dundee City,Dundee City,C,253,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000331,336708,732899,-3.029299,56.483978,Tayside,Serious,1,1,08/06/2016,Wednesday,22:16,Dundee City,Dundee City,Unclassified,0,Single carriageway,20,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - no lighting,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000335,339991,733454,-2.976128,56.489394,Tayside,Slight,1,1,31/05/2016,Tuesday,19:35,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,
2016930000336,341131,731397,-2.957152,56.47106,Tayside,Slight,1,1,03/06/2016,Friday,16:13,Dundee City,Dundee City,A,929,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000346,342983,731655,-2.927151,56.473606,Tayside,Slight,1,1,06/06/2016,Monday,14:10,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,B,959,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000348,344559,731474,-2.901533,56.472169,Tayside,Slight,3,4,12/06/2016,Sunday,13:15,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Crossroads,Give way or uncontrolled,Data missing or out of range,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000359,343261,731164,-2.922532,56.469229,Tayside,Slight,1,1,15/06/2016,Wednesday,16:00,Dundee City,Dundee City,Unclassified,0,Dual carriageway,30,Crossroads,Give way or uncontrolled,C,223,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2016930000360,339155,730797,-2.989081,56.465419,Tayside,Slight,1,1,15/06/2016,Wednesday,10:10,Dundee City,Dundee City,C,245,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2016930000376,340675,732133,-2.96472,56.477615,Tayside,Slight,2,1,20/06/2016,Monday,10:35,Dundee City,Dundee City,C,244,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000377,341017,731306,-2.958981,56.470229,Tayside,Slight,3,2,08/06/2016,Wednesday,18:15,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,A,929,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000390,342763,732035,-2.930805,56.476993,Tayside,Slight,1,1,13/06/2016,Monday,17:30,Dundee City,Dundee City,A,972,Dual carriageway,40,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,
2016930000397,342646,732110,-2.932721,56.477652,Tayside,Slight,2,1,16/06/2016,Thursday,16:45,Dundee City,Dundee City,C,200,Single carriageway,30,T or staggered junction,Give way or uncontrolled,A,972,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2016930000398,341081,731093,-2.957895,56.468323,Tayside,Slight,1,1,24/06/2016,Friday,14:30,Dundee City,Dundee City,A,929,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000422,342542,731508,-2.934276,56.472232,Tayside,Slight,1,1,10/07/2016,Sunday,21:20,Dundee City,Dundee City,B,959,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,Central refuge,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2016930000427,340436,731267,-2.968402,56.469805,Tayside,Slight,1,1,07/03/2016,Monday,16:35,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000432,337986,732771,-3.00852,56.482999,Tayside,Slight,2,1,15/06/2016,Wednesday,16:20,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2016930000439,343525,733000,-2.918646,56.485754,Tayside,Serious,2,2,10/07/2016,Sunday,16:50,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,229,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2016930000443,341404,731335,-2.952707,56.470538,Tayside,Serious,1,1,30/04/2016,Saturday,21:00,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
